Labels,EmScan30,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.25,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,1.57298760E+4,
471.00,1.68621133E+4,
472.00,1.83495703E+4,
473.00,2.09150918E+4,
474.00,2.36955059E+4,
475.00,2.69252461E+4,
476.00,3.06737363E+4,
477.00,3.48272617E+4,
478.00,3.86730781E+4,
479.00,4.40746758E+4,
480.00,4.96703867E+4,
481.00,5.54700000E+4,
482.00,6.19691055E+4,
483.00,6.82638594E+4,
484.00,7.45592500E+4,
485.00,8.32289609E+4,
486.00,9.04823906E+4,
487.00,9.91640625E+4,
488.00,1.07276836E+5,
489.00,1.16642211E+5,
490.00,1.25149453E+5,
491.00,1.34118203E+5,
492.00,1.43775922E+5,
493.00,1.52895969E+5,
494.00,1.61476609E+5,
495.00,1.70680906E+5,
496.00,1.78144672E+5,
497.00,1.87061000E+5,
498.00,1.95101984E+5,
499.00,2.03438094E+5,
500.00,2.11035156E+5,
501.00,2.18234891E+5,
502.00,2.23943953E+5,
503.00,2.30881484E+5,
504.00,2.39075672E+5,
505.00,2.45851047E+5,
506.00,2.51368875E+5,
507.00,2.57722016E+5,
508.00,2.63707125E+5,
509.00,2.68102313E+5,
510.00,2.73758000E+5,
511.00,2.77876594E+5,
512.00,2.83334344E+5,
513.00,2.86632094E+5,
514.00,2.90447656E+5,
515.00,2.93461094E+5,
516.00,2.97943594E+5,
517.00,3.00104188E+5,
518.00,3.02305969E+5,
519.00,3.05338688E+5,
520.00,3.07584344E+5,
521.00,3.10091531E+5,
522.00,3.10198719E+5,
523.00,3.11028500E+5,
524.00,3.12065844E+5,
525.00,3.11939563E+5,
526.00,3.13782375E+5,
527.00,3.13043031E+5,
528.00,3.13838188E+5,
529.00,3.12095500E+5,
530.00,3.10727688E+5,
531.00,3.10428688E+5,
532.00,3.09034844E+5,
533.00,3.07972156E+5,
534.00,3.06399125E+5,
535.00,3.05491500E+5,
536.00,3.02328344E+5,
537.00,3.00087313E+5,
538.00,2.99063188E+5,
539.00,2.95343344E+5,
540.00,2.94098625E+5,
541.00,2.89841344E+5,
542.00,2.87644000E+5,
543.00,2.86357125E+5,
544.00,2.80990281E+5,
545.00,2.79990094E+5,
546.00,2.74992781E+5,
547.00,2.73950625E+5,
548.00,2.70461250E+5,
549.00,2.65614313E+5,
550.00,2.62782500E+5,
551.00,2.59776063E+5,
552.00,2.55595234E+5,
553.00,2.53665094E+5,
554.00,2.48252766E+5,
555.00,2.46070375E+5,
556.00,2.40229656E+5,
557.00,2.39940844E+5,
558.00,2.38445734E+5,
559.00,2.33638375E+5,
560.00,2.26991734E+5,
561.00,2.21676500E+5,
562.00,2.18142031E+5,
563.00,2.16590703E+5,
564.00,2.08800125E+5,
565.00,2.07367203E+5,
566.00,2.03686594E+5,
567.00,1.98394531E+5,
568.00,1.94533219E+5,
569.00,1.92592375E+5,
570.00,1.87434125E+5,
571.00,1.83662563E+5,
572.00,1.81221172E+5,
573.00,1.76315734E+5,
574.00,1.73383641E+5,
575.00,1.69671656E+5,
576.00,1.66655813E+5,
577.00,1.63646906E+5,
578.00,1.59731281E+5,
579.00,1.56125297E+5,
580.00,1.52374547E+5,
581.00,1.49525016E+5,
582.00,1.46003438E+5,
583.00,1.42664266E+5,
584.00,1.40292516E+5,
585.00,1.37248391E+5,
586.00,1.33901031E+5,
587.00,1.30830133E+5,
588.00,1.28066406E+5,
589.00,1.24755180E+5,
590.00,1.21718641E+5,
591.00,1.19782313E+5,
592.00,1.17539445E+5,
593.00,1.14751195E+5,
594.00,1.11600922E+5,
595.00,1.08729117E+5,
596.00,1.06137102E+5,
597.00,1.05211742E+5,
598.00,1.01645398E+5,
599.00,9.93524141E+4,
600.00,9.73682031E+4,
601.00,9.49019844E+4,
602.00,9.25921953E+4,
603.00,9.05398516E+4,
604.00,8.76181016E+4,
605.00,8.47735234E+4,
606.00,8.39237109E+4,
607.00,8.27805781E+4,
608.00,7.99426172E+4,
609.00,7.79390000E+4,
610.00,7.49437500E+4,
611.00,7.40136953E+4,
612.00,7.20378906E+4,
613.00,7.03613906E+4,
614.00,6.88541875E+4,
615.00,6.81133516E+4,
616.00,6.50220625E+4,
617.00,6.38568516E+4,
618.00,6.24892969E+4,
619.00,6.09016992E+4,
620.00,5.96499141E+4,
621.00,5.76679414E+4,
622.00,5.69732891E+4,
623.00,5.48198164E+4,
624.00,5.35737500E+4,
625.00,5.28975625E+4,
626.00,4.99512539E+4,
627.00,4.91764727E+4,
628.00,4.71440313E+4,
629.00,4.68128164E+4,
630.00,4.59063477E+4,
631.00,4.42518828E+4,
632.00,4.40566172E+4,
633.00,4.21745234E+4,
634.00,4.11093438E+4,
635.00,3.98569063E+4,
636.00,3.90183281E+4,
637.00,3.81775977E+4,
638.00,3.63866992E+4,
639.00,3.57457930E+4,
640.00,3.46238984E+4,
641.00,3.38606563E+4,
642.00,3.27144844E+4,
643.00,3.12522090E+4,
644.00,3.15086191E+4,
645.00,3.05911309E+4,
646.00,2.95824414E+4,
647.00,2.90473594E+4,
648.00,2.80003184E+4,
649.00,2.71915430E+4,
650.00,2.66559316E+4,
651.00,2.62409609E+4,
652.00,2.48340918E+4,
653.00,2.50647715E+4,
654.00,2.32517813E+4,
655.00,2.40853535E+4,
656.00,2.26880586E+4,
657.00,2.21613594E+4,
658.00,2.21899980E+4,
659.00,2.20700039E+4,
660.00,2.32466484E+4,
661.00,2.30576504E+4,
662.00,2.12746543E+4,
663.00,1.97221816E+4,
664.00,1.89352773E+4,
665.00,1.85971777E+4,
666.00,1.76711094E+4,
667.00,1.74004473E+4,
668.00,1.70533750E+4,
669.00,1.65318066E+4,
670.00,1.58285557E+4,
671.00,1.60867178E+4,
672.00,1.53391787E+4,
673.00,1.52166191E+4,
674.00,1.51858965E+4,
675.00,1.46054492E+4,
676.00,1.42808262E+4,
677.00,1.37881299E+4,
678.00,1.31121748E+4,
679.00,1.40541875E+4,
680.00,1.17500459E+4,
681.00,1.17307939E+4,
682.00,1.11329932E+4,
683.00,1.08517363E+4,
684.00,1.08741865E+4,
685.00,1.03491055E+4,
686.00,1.01889727E+4,
687.00,1.01950166E+4,
688.00,1.01479375E+4,
689.00,9.81293652E+3,
690.00,1.02242373E+4,
691.00,8.87464746E+3,
692.00,8.73342969E+3,
693.00,8.34917188E+3,
694.00,8.39280762E+3,
695.00,8.54170605E+3,
696.00,7.59547217E+3,
697.00,7.57496094E+3,
698.00,7.91342920E+3,
699.00,7.48382617E+3,
700.00,7.36568750E+3,
