Labels,EmScan24,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.25,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,1.60738291E+4,
471.00,1.68870430E+4,
472.00,1.86454082E+4,
473.00,2.10515605E+4,
474.00,2.37191367E+4,
475.00,2.69616641E+4,
476.00,3.06247539E+4,
477.00,3.45707461E+4,
478.00,3.90393750E+4,
479.00,4.39701211E+4,
480.00,4.98006992E+4,
481.00,5.56548750E+4,
482.00,6.13050313E+4,
483.00,6.91205703E+4,
484.00,7.60004297E+4,
485.00,8.34144688E+4,
486.00,9.10273438E+4,
487.00,9.93010078E+4,
488.00,1.08122484E+5,
489.00,1.16144523E+5,
490.00,1.25739633E+5,
491.00,1.33716313E+5,
492.00,1.44053594E+5,
493.00,1.53497531E+5,
494.00,1.61701906E+5,
495.00,1.70776656E+5,
496.00,1.79158625E+5,
497.00,1.86854188E+5,
498.00,1.95664016E+5,
499.00,2.04288328E+5,
500.00,2.11299172E+5,
501.00,2.18477594E+5,
502.00,2.25134938E+5,
503.00,2.33294109E+5,
504.00,2.41942391E+5,
505.00,2.46849578E+5,
506.00,2.53048453E+5,
507.00,2.59012578E+5,
508.00,2.65962656E+5,
509.00,2.70088875E+5,
510.00,2.75408844E+5,
511.00,2.79826688E+5,
512.00,2.85090656E+5,
513.00,2.89392656E+5,
514.00,2.91957156E+5,
515.00,2.95767063E+5,
516.00,3.00131688E+5,
517.00,3.01313125E+5,
518.00,3.03626844E+5,
519.00,3.07848375E+5,
520.00,3.08530281E+5,
521.00,3.10024250E+5,
522.00,3.12272344E+5,
523.00,3.12589125E+5,
524.00,3.13738625E+5,
525.00,3.14980438E+5,
526.00,3.15868563E+5,
527.00,3.15438469E+5,
528.00,3.14585594E+5,
529.00,3.14027969E+5,
530.00,3.12511688E+5,
531.00,3.11249438E+5,
532.00,3.11547375E+5,
533.00,3.09240594E+5,
534.00,3.09059594E+5,
535.00,3.06428969E+5,
536.00,3.04532250E+5,
537.00,3.02231375E+5,
538.00,3.01621813E+5,
539.00,2.97819031E+5,
540.00,2.97175625E+5,
541.00,2.93666219E+5,
542.00,2.89956781E+5,
543.00,2.87093094E+5,
544.00,2.85178656E+5,
545.00,2.82139469E+5,
546.00,2.78874563E+5,
547.00,2.75198219E+5,
548.00,2.72403438E+5,
549.00,2.66899938E+5,
550.00,2.65206500E+5,
551.00,2.61367313E+5,
552.00,2.58181375E+5,
553.00,2.53774438E+5,
554.00,2.50479234E+5,
555.00,2.45964078E+5,
556.00,2.43009516E+5,
557.00,2.40958859E+5,
558.00,2.38339719E+5,
559.00,2.35073656E+5,
560.00,2.28991750E+5,
561.00,2.23192734E+5,
562.00,2.19887641E+5,
563.00,2.15938984E+5,
564.00,2.12783359E+5,
565.00,2.08493031E+5,
566.00,2.04961906E+5,
567.00,2.00308578E+5,
568.00,1.97000125E+5,
569.00,1.93098891E+5,
570.00,1.89241438E+5,
571.00,1.85146813E+5,
572.00,1.83349391E+5,
573.00,1.79763625E+5,
574.00,1.74535391E+5,
575.00,1.71299328E+5,
576.00,1.67272047E+5,
577.00,1.63232719E+5,
578.00,1.60071297E+5,
579.00,1.58545797E+5,
580.00,1.53463313E+5,
581.00,1.51101375E+5,
582.00,1.47240859E+5,
583.00,1.45185453E+5,
584.00,1.42463781E+5,
585.00,1.38035547E+5,
586.00,1.35582000E+5,
587.00,1.32384641E+5,
588.00,1.28637219E+5,
589.00,1.26642508E+5,
590.00,1.24114977E+5,
591.00,1.21373313E+5,
592.00,1.17878938E+5,
593.00,1.15364664E+5,
594.00,1.13353898E+5,
595.00,1.09732578E+5,
596.00,1.07462320E+5,
597.00,1.04394172E+5,
598.00,1.02339977E+5,
599.00,1.00259664E+5,
600.00,9.78609375E+4,
601.00,9.53918281E+4,
602.00,9.34700625E+4,
603.00,9.11338672E+4,
604.00,8.92099531E+4,
605.00,8.75977500E+4,
606.00,8.43012109E+4,
607.00,8.31697656E+4,
608.00,8.09557344E+4,
609.00,7.96613516E+4,
610.00,7.65844063E+4,
611.00,7.46417891E+4,
612.00,7.31802969E+4,
613.00,7.16717188E+4,
614.00,6.97108203E+4,
615.00,6.77367500E+4,
616.00,6.57418203E+4,
617.00,6.35540352E+4,
618.00,6.22205859E+4,
619.00,6.09115742E+4,
620.00,5.98506250E+4,
621.00,5.81294414E+4,
622.00,5.62956367E+4,
623.00,5.49740391E+4,
624.00,5.40507500E+4,
625.00,5.27717031E+4,
626.00,5.11581602E+4,
627.00,4.93943906E+4,
628.00,4.84367031E+4,
629.00,4.69732148E+4,
630.00,4.56413633E+4,
631.00,4.50300391E+4,
632.00,4.40453359E+4,
633.00,4.22710820E+4,
634.00,4.15801797E+4,
635.00,3.98441328E+4,
636.00,3.93070938E+4,
637.00,3.78424570E+4,
638.00,3.74176641E+4,
639.00,3.66539180E+4,
640.00,3.57014336E+4,
641.00,3.45926641E+4,
642.00,3.36853164E+4,
643.00,3.24142324E+4,
644.00,3.15935801E+4,
645.00,3.08407148E+4,
646.00,2.90765000E+4,
647.00,2.91753730E+4,
648.00,2.89513555E+4,
649.00,2.77361113E+4,
650.00,2.76653789E+4,
651.00,2.64708359E+4,
652.00,2.51544570E+4,
653.00,2.49528164E+4,
654.00,2.45571504E+4,
655.00,2.37272773E+4,
656.00,2.30218301E+4,
657.00,2.26371953E+4,
658.00,2.18519590E+4,
659.00,2.18739961E+4,
660.00,2.27338203E+4,
661.00,2.27807188E+4,
662.00,2.16007422E+4,
663.00,1.96843750E+4,
664.00,1.91651855E+4,
665.00,1.86366504E+4,
666.00,1.76293086E+4,
667.00,1.72813887E+4,
668.00,1.69280254E+4,
669.00,1.68761426E+4,
670.00,1.61531221E+4,
671.00,1.63715459E+4,
672.00,1.51181035E+4,
673.00,1.44599111E+4,
674.00,1.47428037E+4,
675.00,1.41500576E+4,
676.00,1.38724365E+4,
677.00,1.33135254E+4,
678.00,1.31372080E+4,
679.00,1.30160088E+4,
680.00,1.22302227E+4,
681.00,1.13300264E+4,
682.00,1.16577373E+4,
683.00,1.14952354E+4,
684.00,1.12980371E+4,
685.00,1.03430850E+4,
686.00,1.04961592E+4,
687.00,9.99363574E+3,
688.00,1.00761348E+4,
689.00,9.22809180E+3,
690.00,9.31179785E+3,
691.00,8.78929785E+3,
692.00,9.12819824E+3,
693.00,8.49403125E+3,
694.00,8.66263770E+3,
695.00,8.13901709E+3,
696.00,8.32148145E+3,
697.00,7.49195801E+3,
698.00,7.83808057E+3,
699.00,7.15798438E+3,
700.00,7.79864746E+3,
