Labels,90min,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,3.27509023E+4,
471.00,3.67878711E+4,
472.00,4.19685547E+4,
473.00,4.84284531E+4,
474.00,5.44661016E+4,
475.00,6.21676992E+4,
476.00,7.07190938E+4,
477.00,7.96927344E+4,
478.00,8.90383203E+4,
479.00,9.95294375E+4,
480.00,1.10917070E+5,
481.00,1.22397109E+5,
482.00,1.34771281E+5,
483.00,1.48098703E+5,
484.00,1.61732641E+5,
485.00,1.74856406E+5,
486.00,1.88816266E+5,
487.00,2.01257734E+5,
488.00,2.15515078E+5,
489.00,2.28286359E+5,
490.00,2.42635969E+5,
491.00,2.54114734E+5,
492.00,2.66611625E+5,
493.00,2.79286375E+5,
494.00,2.90289406E+5,
495.00,3.02259156E+5,
496.00,3.11461969E+5,
497.00,3.20718031E+5,
498.00,3.30380156E+5,
499.00,3.39429188E+5,
500.00,3.46894469E+5,
501.00,3.53304500E+5,
502.00,3.59990969E+5,
503.00,3.67426781E+5,
504.00,3.73886625E+5,
505.00,3.79461438E+5,
506.00,3.83385469E+5,
507.00,3.88781031E+5,
508.00,3.91388031E+5,
509.00,3.96849438E+5,
510.00,4.00731344E+5,
511.00,4.02472656E+5,
512.00,4.06200969E+5,
513.00,4.10348344E+5,
514.00,4.12886125E+5,
515.00,4.13934438E+5,
516.00,4.13306625E+5,
517.00,4.14108125E+5,
518.00,4.15425594E+5,
519.00,4.15982781E+5,
520.00,4.15252906E+5,
521.00,4.14956688E+5,
522.00,4.15744656E+5,
523.00,4.16027188E+5,
524.00,4.15000594E+5,
525.00,4.13488656E+5,
526.00,4.12671281E+5,
527.00,4.10137531E+5,
528.00,4.06784875E+5,
529.00,4.04692281E+5,
530.00,4.01981844E+5,
531.00,3.97421031E+5,
532.00,3.94813813E+5,
533.00,3.90553000E+5,
534.00,3.85643156E+5,
535.00,3.82339500E+5,
536.00,3.79651906E+5,
537.00,3.75051500E+5,
538.00,3.70630250E+5,
539.00,3.66246250E+5,
540.00,3.63400281E+5,
541.00,3.58399438E+5,
542.00,3.52272875E+5,
543.00,3.48624531E+5,
544.00,3.45045000E+5,
545.00,3.39890719E+5,
546.00,3.33281375E+5,
547.00,3.28083219E+5,
548.00,3.23473000E+5,
549.00,3.18096750E+5,
550.00,3.12634938E+5,
551.00,3.07932500E+5,
552.00,3.02983375E+5,
553.00,2.97597969E+5,
554.00,2.91992500E+5,
555.00,2.84965281E+5,
556.00,2.80615531E+5,
557.00,2.76650938E+5,
558.00,2.73584000E+5,
559.00,2.67607125E+5,
560.00,2.60776953E+5,
561.00,2.54882797E+5,
562.00,2.49404734E+5,
563.00,2.44576516E+5,
564.00,2.38846594E+5,
565.00,2.34096313E+5,
566.00,2.29348313E+5,
567.00,2.23647453E+5,
568.00,2.18684344E+5,
569.00,2.14349781E+5,
570.00,2.09556234E+5,
571.00,2.03987609E+5,
572.00,1.99444719E+5,
573.00,1.95517547E+5,
574.00,1.90400453E+5,
575.00,1.85211063E+5,
576.00,1.82682703E+5,
577.00,1.77811828E+5,
578.00,1.73375750E+5,
579.00,1.69980453E+5,
580.00,1.66354219E+5,
581.00,1.61098344E+5,
582.00,1.58002078E+5,
583.00,1.55226375E+5,
584.00,1.50433688E+5,
585.00,1.46677875E+5,
586.00,1.43815906E+5,
587.00,1.40100953E+5,
588.00,1.35896922E+5,
589.00,1.34102297E+5,
590.00,1.30989414E+5,
591.00,1.27251461E+5,
592.00,1.23968813E+5,
593.00,1.20987195E+5,
594.00,1.17432797E+5,
595.00,1.14268891E+5,
596.00,1.10879055E+5,
597.00,1.08528602E+5,
598.00,1.05914367E+5,
599.00,1.02515906E+5,
600.00,1.00140516E+5,
601.00,9.86477734E+4,
602.00,9.62517734E+4,
603.00,9.43279141E+4,
604.00,9.12130234E+4,
605.00,8.83605547E+4,
606.00,8.62239375E+4,
607.00,8.44273438E+4,
608.00,8.19106719E+4,
609.00,8.02194375E+4,
610.00,7.76195703E+4,
611.00,7.52226563E+4,
612.00,7.44032813E+4,
613.00,7.23136797E+4,
614.00,7.04481719E+4,
615.00,6.79829609E+4,
616.00,6.58136797E+4,
617.00,6.36885430E+4,
618.00,6.17675820E+4,
619.00,6.10213438E+4,
620.00,5.91246602E+4,
621.00,5.74257227E+4,
622.00,5.55467656E+4,
623.00,5.44160820E+4,
624.00,5.29647695E+4,
625.00,5.21552461E+4,
626.00,4.94331367E+4,
627.00,4.92677891E+4,
628.00,4.68071406E+4,
629.00,4.66753320E+4,
630.00,4.53215898E+4,
631.00,4.43917383E+4,
632.00,4.31982578E+4,
633.00,4.16513008E+4,
634.00,4.11217227E+4,
635.00,3.95364805E+4,
636.00,3.81005703E+4,
637.00,3.75757734E+4,
638.00,3.62138477E+4,
639.00,3.61555547E+4,
640.00,3.42534883E+4,
641.00,3.39020938E+4,
642.00,3.22255742E+4,
643.00,3.21565430E+4,
644.00,3.05109531E+4,
645.00,2.96274063E+4,
646.00,2.95011543E+4,
647.00,2.84182559E+4,
648.00,2.73911152E+4,
649.00,2.65729883E+4,
650.00,2.52683789E+4,
651.00,2.49100195E+4,
652.00,2.43799844E+4,
653.00,2.36905313E+4,
654.00,2.31521035E+4,
655.00,2.28403848E+4,
656.00,2.18684082E+4,
657.00,2.17007539E+4,
658.00,2.11206934E+4,
659.00,2.23023281E+4,
660.00,2.34029570E+4,
661.00,2.42418594E+4,
662.00,2.14673516E+4,
663.00,1.90393867E+4,
664.00,1.80541797E+4,
665.00,1.71993125E+4,
666.00,1.72135117E+4,
667.00,1.66319277E+4,
668.00,1.60314746E+4,
669.00,1.56322891E+4,
670.00,1.52907529E+4,
671.00,1.46651260E+4,
672.00,1.48231367E+4,
673.00,1.38464092E+4,
674.00,1.37915703E+4,
675.00,1.32287939E+4,
676.00,1.32242588E+4,
677.00,1.28927480E+4,
678.00,1.27804756E+4,
679.00,1.24844111E+4,
680.00,1.08551299E+4,
681.00,1.06732041E+4,
682.00,9.82911230E+3,
683.00,9.69855566E+3,
684.00,9.13531348E+3,
685.00,9.10299512E+3,
686.00,9.22153906E+3,
687.00,8.91579980E+3,
688.00,8.80010156E+3,
689.00,8.61679395E+3,
690.00,8.37617969E+3,
691.00,7.71491553E+3,
692.00,7.79869141E+3,
693.00,7.26958594E+3,
694.00,7.37968506E+3,
695.00,7.07975635E+3,
696.00,7.08617578E+3,
697.00,6.88405811E+3,
698.00,6.61695605E+3,
699.00,6.20933691E+3,
700.00,6.46154785E+3,
