Labels,45min,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,3.37405742E+4,
471.00,3.86222578E+4,
472.00,4.34179805E+4,
473.00,4.97898086E+4,
474.00,5.66086250E+4,
475.00,6.36205234E+4,
476.00,7.27093047E+4,
477.00,8.17260703E+4,
478.00,9.22575234E+4,
479.00,1.03113070E+5,
480.00,1.15464953E+5,
481.00,1.27506430E+5,
482.00,1.39436453E+5,
483.00,1.52404234E+5,
484.00,1.65408281E+5,
485.00,1.78830828E+5,
486.00,1.92006469E+5,
487.00,2.05845172E+5,
488.00,2.18608031E+5,
489.00,2.32308000E+5,
490.00,2.45805266E+5,
491.00,2.58337781E+5,
492.00,2.70224281E+5,
493.00,2.83310281E+5,
494.00,2.94111375E+5,
495.00,3.05863000E+5,
496.00,3.14894000E+5,
497.00,3.26287563E+5,
498.00,3.35431000E+5,
499.00,3.44088875E+5,
500.00,3.52520281E+5,
501.00,3.61837719E+5,
502.00,3.68895406E+5,
503.00,3.77118531E+5,
504.00,3.86139125E+5,
505.00,3.92400719E+5,
506.00,3.94889531E+5,
507.00,3.98394188E+5,
508.00,4.02186438E+5,
509.00,4.05782938E+5,
510.00,4.08954000E+5,
511.00,4.11331531E+5,
512.00,4.14358938E+5,
513.00,4.16235250E+5,
514.00,4.20388531E+5,
515.00,4.21610375E+5,
516.00,4.22672406E+5,
517.00,4.22919906E+5,
518.00,4.25259719E+5,
519.00,4.24233188E+5,
520.00,4.24157094E+5,
521.00,4.23222906E+5,
522.00,4.23566813E+5,
523.00,4.23591500E+5,
524.00,4.20345188E+5,
525.00,4.19776875E+5,
526.00,4.17556469E+5,
527.00,4.14369344E+5,
528.00,4.13465094E+5,
529.00,4.10464906E+5,
530.00,4.06277906E+5,
531.00,4.04357125E+5,
532.00,4.01233031E+5,
533.00,3.97879156E+5,
534.00,3.94696594E+5,
535.00,3.89932531E+5,
536.00,3.85592938E+5,
537.00,3.81466656E+5,
538.00,3.78877031E+5,
539.00,3.75483406E+5,
540.00,3.71146344E+5,
541.00,3.67351000E+5,
542.00,3.61797719E+5,
543.00,3.56447531E+5,
544.00,3.49305531E+5,
545.00,3.44529250E+5,
546.00,3.37763094E+5,
547.00,3.33107750E+5,
548.00,3.25486406E+5,
549.00,3.23066938E+5,
550.00,3.17687125E+5,
551.00,3.12957094E+5,
552.00,3.08143594E+5,
553.00,3.02361375E+5,
554.00,2.96280094E+5,
555.00,2.91709313E+5,
556.00,2.86153094E+5,
557.00,2.83534906E+5,
558.00,2.79133094E+5,
559.00,2.73031094E+5,
560.00,2.65036281E+5,
561.00,2.57186859E+5,
562.00,2.52384828E+5,
563.00,2.47304953E+5,
564.00,2.43488813E+5,
565.00,2.37196688E+5,
566.00,2.31782938E+5,
567.00,2.26691391E+5,
568.00,2.22478781E+5,
569.00,2.19118891E+5,
570.00,2.14519750E+5,
571.00,2.09707078E+5,
572.00,2.06903141E+5,
573.00,2.01851875E+5,
574.00,1.97463813E+5,
575.00,1.94006766E+5,
576.00,1.88081406E+5,
577.00,1.82589297E+5,
578.00,1.78092188E+5,
579.00,1.72878094E+5,
580.00,1.70170469E+5,
581.00,1.65157000E+5,
582.00,1.60307813E+5,
583.00,1.58107141E+5,
584.00,1.53189734E+5,
585.00,1.49820234E+5,
586.00,1.46468203E+5,
587.00,1.42008563E+5,
588.00,1.39025031E+5,
589.00,1.35534375E+5,
590.00,1.32892922E+5,
591.00,1.29211875E+5,
592.00,1.25074258E+5,
593.00,1.22888766E+5,
594.00,1.19263219E+5,
595.00,1.16791688E+5,
596.00,1.13974461E+5,
597.00,1.11344297E+5,
598.00,1.09088398E+5,
599.00,1.05808422E+5,
600.00,1.03644039E+5,
601.00,1.00118336E+5,
602.00,9.81182891E+4,
603.00,9.49782813E+4,
604.00,9.28163359E+4,
605.00,9.07568438E+4,
606.00,8.85998672E+4,
607.00,8.60955781E+4,
608.00,8.35517031E+4,
609.00,8.24409766E+4,
610.00,7.94510313E+4,
611.00,7.81491328E+4,
612.00,7.64030078E+4,
613.00,7.42770859E+4,
614.00,7.24040313E+4,
615.00,7.05842500E+4,
616.00,6.87343516E+4,
617.00,6.59441484E+4,
618.00,6.44623750E+4,
619.00,6.31900078E+4,
620.00,6.11853633E+4,
621.00,6.00869727E+4,
622.00,5.83582578E+4,
623.00,5.62854219E+4,
624.00,5.50927031E+4,
625.00,5.31989375E+4,
626.00,5.14131211E+4,
627.00,5.00136719E+4,
628.00,4.85071055E+4,
629.00,4.74801484E+4,
630.00,4.61487188E+4,
631.00,4.48397930E+4,
632.00,4.36186250E+4,
633.00,4.26053711E+4,
634.00,4.16227734E+4,
635.00,4.02631875E+4,
636.00,3.94400430E+4,
637.00,3.72533477E+4,
638.00,3.71130273E+4,
639.00,3.58058359E+4,
640.00,3.53681016E+4,
641.00,3.33689141E+4,
642.00,3.31735195E+4,
643.00,3.25309063E+4,
644.00,3.17573594E+4,
645.00,3.02680293E+4,
646.00,2.93948711E+4,
647.00,2.87846426E+4,
648.00,2.81893066E+4,
649.00,2.67315684E+4,
650.00,2.64997031E+4,
651.00,2.61653027E+4,
652.00,2.57363730E+4,
653.00,2.41236348E+4,
654.00,2.41195313E+4,
655.00,2.31840684E+4,
656.00,2.22944238E+4,
657.00,2.23346602E+4,
658.00,2.21808730E+4,
659.00,2.32462031E+4,
660.00,2.42727734E+4,
661.00,2.44210977E+4,
662.00,2.25385996E+4,
663.00,1.95677461E+4,
664.00,1.81216055E+4,
665.00,1.72764316E+4,
666.00,1.71701035E+4,
667.00,1.64437773E+4,
668.00,1.60994170E+4,
669.00,1.64683516E+4,
670.00,1.56018486E+4,
671.00,1.53946318E+4,
672.00,1.50215195E+4,
673.00,1.41138398E+4,
674.00,1.42286885E+4,
675.00,1.38999697E+4,
676.00,1.36412588E+4,
677.00,1.32944150E+4,
678.00,1.26981162E+4,
679.00,1.27915137E+4,
680.00,1.13767773E+4,
681.00,1.06819824E+4,
682.00,1.05229492E+4,
683.00,1.06670557E+4,
684.00,1.04292412E+4,
685.00,9.32334375E+3,
686.00,9.31298340E+3,
687.00,9.08305957E+3,
688.00,9.10550586E+3,
689.00,8.82366504E+3,
690.00,8.41062598E+3,
691.00,8.77759766E+3,
692.00,7.95297412E+3,
693.00,7.89182324E+3,
694.00,7.38251270E+3,
695.00,6.99092920E+3,
696.00,7.42408447E+3,
697.00,7.07315234E+3,
698.00,6.74433447E+3,
699.00,6.16691797E+3,
700.00,6.30162305E+3,
