Labels,60min,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,3.29198086E+4,
471.00,3.74201094E+4,
472.00,4.22776133E+4,
473.00,4.88836758E+4,
474.00,5.56425742E+4,
475.00,6.34811016E+4,
476.00,7.18935703E+4,
477.00,8.11891797E+4,
478.00,9.07533516E+4,
479.00,1.02094266E+5,
480.00,1.13383094E+5,
481.00,1.25235641E+5,
482.00,1.37328391E+5,
483.00,1.50826359E+5,
484.00,1.64165922E+5,
485.00,1.76961953E+5,
486.00,1.90552500E+5,
487.00,2.04299891E+5,
488.00,2.17987172E+5,
489.00,2.32216688E+5,
490.00,2.46014453E+5,
491.00,2.58860891E+5,
492.00,2.72023063E+5,
493.00,2.85410938E+5,
494.00,2.98852781E+5,
495.00,3.10677031E+5,
496.00,3.21594594E+5,
497.00,3.33550438E+5,
498.00,3.42903781E+5,
499.00,3.45290188E+5,
500.00,3.50899531E+5,
501.00,3.57528094E+5,
502.00,3.62877281E+5,
503.00,3.69411156E+5,
504.00,3.76033156E+5,
505.00,3.81392500E+5,
506.00,3.86637219E+5,
507.00,3.91352031E+5,
508.00,3.96904438E+5,
509.00,4.00032625E+5,
510.00,4.03115375E+5,
511.00,4.06677094E+5,
512.00,4.09803094E+5,
513.00,4.12326656E+5,
514.00,4.14242188E+5,
515.00,4.15772500E+5,
516.00,4.16744156E+5,
517.00,4.16612938E+5,
518.00,4.17863188E+5,
519.00,4.17692875E+5,
520.00,4.18245469E+5,
521.00,4.18354531E+5,
522.00,4.18745688E+5,
523.00,4.18485406E+5,
524.00,4.18805625E+5,
525.00,4.17414375E+5,
526.00,4.16079281E+5,
527.00,4.12985406E+5,
528.00,4.12306125E+5,
529.00,4.10284531E+5,
530.00,4.04496500E+5,
531.00,4.01849219E+5,
532.00,3.98143125E+5,
533.00,3.93473188E+5,
534.00,3.89219844E+5,
535.00,3.85975906E+5,
536.00,3.80144250E+5,
537.00,3.77215156E+5,
538.00,3.72812063E+5,
539.00,3.69789750E+5,
540.00,3.65170625E+5,
541.00,3.60300719E+5,
542.00,3.52794031E+5,
543.00,3.48632094E+5,
544.00,3.43675750E+5,
545.00,3.37807781E+5,
546.00,3.34152750E+5,
547.00,3.27323281E+5,
548.00,3.22981063E+5,
549.00,3.18854094E+5,
550.00,3.13341250E+5,
551.00,3.09730219E+5,
552.00,3.04412594E+5,
553.00,2.98471594E+5,
554.00,2.93036063E+5,
555.00,2.88411375E+5,
556.00,2.84044531E+5,
557.00,2.80903594E+5,
558.00,2.77039500E+5,
559.00,2.71340906E+5,
560.00,2.63112875E+5,
561.00,2.57160828E+5,
562.00,2.51695469E+5,
563.00,2.45920531E+5,
564.00,2.40144047E+5,
565.00,2.34737469E+5,
566.00,2.30018953E+5,
567.00,2.25230453E+5,
568.00,2.21631781E+5,
569.00,2.16765297E+5,
570.00,2.11449250E+5,
571.00,2.07302188E+5,
572.00,2.02487016E+5,
573.00,1.97439141E+5,
574.00,1.94391672E+5,
575.00,1.89837531E+5,
576.00,1.85079594E+5,
577.00,1.80374328E+5,
578.00,1.76799328E+5,
579.00,1.71993766E+5,
580.00,1.68436031E+5,
581.00,1.63676641E+5,
582.00,1.60550203E+5,
583.00,1.56917719E+5,
584.00,1.53619109E+5,
585.00,1.49264984E+5,
586.00,1.45194375E+5,
587.00,1.41376266E+5,
588.00,1.37976891E+5,
589.00,1.34593125E+5,
590.00,1.31063016E+5,
591.00,1.27374617E+5,
592.00,1.24428758E+5,
593.00,1.21599063E+5,
594.00,1.18104016E+5,
595.00,1.15515016E+5,
596.00,1.11405539E+5,
597.00,1.09361211E+5,
598.00,1.07231398E+5,
599.00,1.04732133E+5,
600.00,1.02687672E+5,
601.00,9.95113203E+4,
602.00,9.71251250E+4,
603.00,9.64147578E+4,
604.00,9.30455625E+4,
605.00,9.12356016E+4,
606.00,8.91441641E+4,
607.00,8.73776250E+4,
608.00,8.44650703E+4,
609.00,8.22281953E+4,
610.00,7.98109375E+4,
611.00,7.74010000E+4,
612.00,7.57384063E+4,
613.00,7.33410156E+4,
614.00,7.14153984E+4,
615.00,6.79523750E+4,
616.00,6.74731875E+4,
617.00,6.55210586E+4,
618.00,6.36630273E+4,
619.00,6.16909492E+4,
620.00,5.99143359E+4,
621.00,5.81177031E+4,
622.00,5.64807539E+4,
623.00,5.48816328E+4,
624.00,5.33047617E+4,
625.00,5.23622891E+4,
626.00,5.04438828E+4,
627.00,4.87555469E+4,
628.00,4.75197461E+4,
629.00,4.67476250E+4,
630.00,4.59130352E+4,
631.00,4.38691055E+4,
632.00,4.28091328E+4,
633.00,4.15951563E+4,
634.00,4.03901172E+4,
635.00,3.88372422E+4,
636.00,3.80980156E+4,
637.00,3.76737422E+4,
638.00,3.62137383E+4,
639.00,3.55264180E+4,
640.00,3.46235234E+4,
641.00,3.33578750E+4,
642.00,3.28695938E+4,
643.00,3.21900293E+4,
644.00,3.16562051E+4,
645.00,3.05258906E+4,
646.00,2.92935234E+4,
647.00,2.83166426E+4,
648.00,2.80790313E+4,
649.00,2.70899824E+4,
650.00,2.62108867E+4,
651.00,2.54709102E+4,
652.00,2.47550781E+4,
653.00,2.42044063E+4,
654.00,2.35308516E+4,
655.00,2.22815801E+4,
656.00,2.21697285E+4,
657.00,2.18639219E+4,
658.00,2.12857930E+4,
659.00,2.27169668E+4,
660.00,2.43015254E+4,
661.00,2.40484668E+4,
662.00,2.13046953E+4,
663.00,1.97358105E+4,
664.00,1.80380898E+4,
665.00,1.74562637E+4,
666.00,1.64404375E+4,
667.00,1.66038691E+4,
668.00,1.62586523E+4,
669.00,1.60893291E+4,
670.00,1.52785439E+4,
671.00,1.51698828E+4,
672.00,1.47140137E+4,
673.00,1.42739883E+4,
674.00,1.38843252E+4,
675.00,1.38637354E+4,
676.00,1.32870020E+4,
677.00,1.28869482E+4,
678.00,1.24388594E+4,
679.00,1.26770332E+4,
680.00,1.10220723E+4,
681.00,1.03904258E+4,
682.00,1.00755410E+4,
683.00,9.80683105E+3,
684.00,9.50617188E+3,
685.00,9.45698730E+3,
686.00,9.21883789E+3,
687.00,9.24960840E+3,
688.00,8.50667676E+3,
689.00,8.29035156E+3,
690.00,8.52129297E+3,
691.00,8.06256934E+3,
692.00,7.91765039E+3,
693.00,7.55013232E+3,
694.00,7.48362793E+3,
695.00,7.20322461E+3,
696.00,6.81788965E+3,
697.00,6.95073242E+3,
698.00,6.12547705E+3,
699.00,6.48975781E+3,
700.00,6.38598340E+3,
