Labels,1-NH2,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,4.73295288E+2,
471.00,4.98602264E+2,
472.00,5.25695313E+2,
473.00,6.13443176E+2,
474.00,6.65421631E+2,
475.00,7.32100769E+2,
476.00,7.78165527E+2,
477.00,9.56545288E+2,
478.00,9.28225891E+2,
479.00,1.05169775E+3,
480.00,1.18045410E+3,
481.00,1.27658533E+3,
482.00,1.42331128E+3,
483.00,1.49957349E+3,
484.00,1.68261621E+3,
485.00,1.80581213E+3,
486.00,1.83561414E+3,
487.00,2.02370679E+3,
488.00,2.12860474E+3,
489.00,2.27894409E+3,
490.00,2.39089038E+3,
491.00,2.43589819E+3,
492.00,2.54566968E+3,
493.00,2.63984253E+3,
494.00,2.65006885E+3,
495.00,2.75504077E+3,
496.00,2.76975293E+3,
497.00,2.78634985E+3,
498.00,2.85959912E+3,
499.00,3.01456689E+3,
500.00,3.00671729E+3,
501.00,2.99702612E+3,
502.00,3.19407178E+3,
503.00,3.19650513E+3,
504.00,3.16422314E+3,
505.00,3.21098413E+3,
506.00,3.33803027E+3,
507.00,3.41741260E+3,
508.00,3.41042896E+3,
509.00,3.34893335E+3,
510.00,3.43654248E+3,
511.00,3.49875195E+3,
512.00,3.57059351E+3,
513.00,3.61005835E+3,
514.00,3.59177930E+3,
515.00,3.60588794E+3,
516.00,3.65058472E+3,
517.00,3.62430054E+3,
518.00,3.63629346E+3,
519.00,3.82125757E+3,
520.00,3.70546338E+3,
521.00,3.76369116E+3,
522.00,3.81225732E+3,
523.00,3.75254907E+3,
524.00,3.83709814E+3,
525.00,3.77624072E+3,
526.00,3.90072046E+3,
527.00,3.82061548E+3,
528.00,3.78832617E+3,
529.00,3.71084668E+3,
530.00,3.81852905E+3,
531.00,3.85100391E+3,
532.00,3.75437891E+3,
533.00,3.81017725E+3,
534.00,3.78498853E+3,
535.00,3.91825928E+3,
536.00,3.76284839E+3,
537.00,3.66374146E+3,
538.00,3.80444019E+3,
539.00,3.56502979E+3,
540.00,3.71346167E+3,
541.00,3.69011890E+3,
542.00,3.41267529E+3,
543.00,3.42970093E+3,
544.00,3.30655908E+3,
545.00,3.09530005E+3,
546.00,3.00089990E+3,
547.00,2.79968384E+3,
548.00,2.75103540E+3,
549.00,2.68520825E+3,
550.00,2.63851147E+3,
551.00,2.58842944E+3,
552.00,2.59492358E+3,
553.00,2.50573828E+3,
554.00,2.46460913E+3,
555.00,2.39626416E+3,
556.00,2.46799780E+3,
557.00,2.26676758E+3,
558.00,2.27181885E+3,
559.00,2.16258228E+3,
560.00,2.11877490E+3,
561.00,2.06649390E+3,
562.00,2.07168994E+3,
563.00,1.91810217E+3,
564.00,1.87401526E+3,
565.00,1.82380371E+3,
566.00,1.82777380E+3,
567.00,1.74708862E+3,
568.00,1.74288928E+3,
569.00,1.64011780E+3,
570.00,1.70165869E+3,
571.00,1.61141467E+3,
572.00,1.59360632E+3,
573.00,1.53233398E+3,
574.00,1.46870557E+3,
575.00,1.44614648E+3,
576.00,1.48689282E+3,
577.00,1.37873682E+3,
578.00,1.35556396E+3,
579.00,1.32452795E+3,
580.00,1.29427808E+3,
581.00,1.20065759E+3,
582.00,1.28186780E+3,
583.00,1.12774011E+3,
584.00,1.19133472E+3,
585.00,1.17690100E+3,
586.00,1.10931873E+3,
587.00,1.08078003E+3,
588.00,1.09285071E+3,
589.00,1.01012512E+3,
590.00,1.05486987E+3,
591.00,9.55963318E+2,
592.00,1.01556573E+3,
593.00,9.89286499E+2,
594.00,1.01652496E+3,
595.00,9.21863525E+2,
596.00,9.17996460E+2,
597.00,9.21033386E+2,
598.00,8.53147278E+2,
599.00,8.24245483E+2,
600.00,9.09467773E+2,
601.00,8.52359070E+2,
602.00,7.28230591E+2,
603.00,7.23012329E+2,
604.00,8.28199341E+2,
605.00,7.16054749E+2,
606.00,7.18349670E+2,
607.00,7.49563354E+2,
608.00,7.36596130E+2,
609.00,6.67336121E+2,
610.00,6.61806274E+2,
611.00,6.60511841E+2,
612.00,6.40686279E+2,
613.00,6.39908630E+2,
614.00,5.34974854E+2,
615.00,5.23191895E+2,
616.00,6.00183044E+2,
617.00,6.11441895E+2,
618.00,5.34078247E+2,
619.00,5.60080688E+2,
620.00,5.30000732E+2,
621.00,4.94364441E+2,
622.00,5.17603516E+2,
623.00,5.26454956E+2,
624.00,4.31053833E+2,
625.00,4.59451538E+2,
626.00,4.43608398E+2,
627.00,4.05826447E+2,
628.00,4.04762024E+2,
629.00,4.02057404E+2,
630.00,4.54509613E+2,
631.00,4.31216064E+2,
632.00,3.93999725E+2,
633.00,4.04498169E+2,
634.00,3.41798126E+2,
635.00,3.83054626E+2,
636.00,3.16587616E+2,
637.00,2.64282043E+2,
638.00,3.33993896E+2,
639.00,2.91312714E+2,
640.00,2.85082092E+2,
641.00,2.83438538E+2,
642.00,2.44016220E+2,
643.00,2.81440063E+2,
644.00,2.87287628E+2,
645.00,3.17202942E+2,
646.00,2.58863037E+2,
647.00,2.18024277E+2,
648.00,2.83184662E+2,
649.00,2.88402374E+2,
650.00,2.48290298E+2,
651.00,2.03005524E+2,
652.00,1.80942932E+2,
653.00,1.91748657E+2,
654.00,2.42582428E+2,
655.00,2.08809814E+2,
656.00,2.33790390E+2,
657.00,2.15810089E+2,
658.00,2.36734329E+2,
659.00,1.76040100E+2,
660.00,2.67756653E+2,
661.00,2.91879333E+2,
662.00,2.41922882E+2,
663.00,1.78593658E+2,
664.00,1.75557159E+2,
665.00,1.77363342E+2,
666.00,1.64170349E+2,
667.00,1.76093246E+2,
668.00,1.93864029E+2,
669.00,1.25684212E+2,
670.00,2.01307739E+2,
671.00,1.52724182E+2,
672.00,1.19404175E+2,
673.00,1.48585297E+2,
674.00,1.14031204E+2,
675.00,1.51993942E+2,
676.00,1.45613663E+2,
677.00,9.53226852E+1,
678.00,1.31617035E+2,
679.00,1.24658417E+2,
680.00,1.36213730E+2,
681.00,1.01226280E+2,
682.00,1.12110062E+2,
683.00,1.01104195E+2,
684.00,1.31346817E+2,
685.00,1.69036896E+2,
686.00,1.28564072E+2,
687.00,9.69104767E+1,
688.00,1.28934753E+2,
689.00,1.48205566E+2,
690.00,1.01374107E+2,
691.00,1.23904114E+2,
692.00,7.90575790E+1,
693.00,8.03069611E+1,
694.00,1.22326851E+2,
695.00,7.90242386E+1,
696.00,1.18330757E+2,
697.00,1.00696190E+2,
698.00,8.64941025E+1,
699.00,6.78643723E+1,
700.00,6.88650970E+1,
