Labels,40-COOH,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,2.41351191E+4,
471.00,2.80132305E+4,
472.00,3.17181992E+4,
473.00,3.65127578E+4,
474.00,4.08138203E+4,
475.00,4.64824961E+4,
476.00,5.24681914E+4,
477.00,6.00976133E+4,
478.00,6.74370547E+4,
479.00,7.45445859E+4,
480.00,8.18803750E+4,
481.00,9.09455234E+4,
482.00,1.01717789E+5,
483.00,1.11855719E+5,
484.00,1.21055750E+5,
485.00,1.30581648E+5,
486.00,1.40701563E+5,
487.00,1.51457438E+5,
488.00,1.61901641E+5,
489.00,1.72308016E+5,
490.00,1.79537047E+5,
491.00,1.88883672E+5,
492.00,1.98520625E+5,
493.00,2.08872563E+5,
494.00,2.16675531E+5,
495.00,2.23910938E+5,
496.00,2.31714813E+5,
497.00,2.39736063E+5,
498.00,2.45609516E+5,
499.00,2.51940516E+5,
500.00,2.55887797E+5,
501.00,2.61455484E+5,
502.00,2.67209375E+5,
503.00,2.72146250E+5,
504.00,2.74048938E+5,
505.00,2.78540344E+5,
506.00,2.84496375E+5,
507.00,2.88730000E+5,
508.00,2.91177438E+5,
509.00,2.92151375E+5,
510.00,2.95256500E+5,
511.00,2.98458656E+5,
512.00,3.03494000E+5,
513.00,3.06222406E+5,
514.00,3.06910406E+5,
515.00,3.06290250E+5,
516.00,3.06475875E+5,
517.00,3.05783813E+5,
518.00,3.05498969E+5,
519.00,3.04239719E+5,
520.00,3.05099875E+5,
521.00,3.04311219E+5,
522.00,3.03892875E+5,
523.00,3.03813969E+5,
524.00,3.03465750E+5,
525.00,3.01531094E+5,
526.00,2.99930031E+5,
527.00,2.98026969E+5,
528.00,2.95889281E+5,
529.00,2.92339625E+5,
530.00,2.90178969E+5,
531.00,2.87193750E+5,
532.00,2.86515094E+5,
533.00,2.82659219E+5,
534.00,2.80653906E+5,
535.00,2.77516313E+5,
536.00,2.73933875E+5,
537.00,2.72364469E+5,
538.00,2.67997125E+5,
539.00,2.66082219E+5,
540.00,2.63003594E+5,
541.00,2.58993609E+5,
542.00,2.56036688E+5,
543.00,2.52842734E+5,
544.00,2.47853328E+5,
545.00,2.44142859E+5,
546.00,2.40371953E+5,
547.00,2.35861875E+5,
548.00,2.32545781E+5,
549.00,2.28982000E+5,
550.00,2.25663875E+5,
551.00,2.20459828E+5,
552.00,2.16234000E+5,
553.00,2.11648094E+5,
554.00,2.09362344E+5,
555.00,2.06525156E+5,
556.00,2.04237719E+5,
557.00,2.02095797E+5,
558.00,1.98507156E+5,
559.00,1.94010750E+5,
560.00,1.87795969E+5,
561.00,1.84400422E+5,
562.00,1.79681656E+5,
563.00,1.76164297E+5,
564.00,1.72433547E+5,
565.00,1.69446688E+5,
566.00,1.65408563E+5,
567.00,1.62796938E+5,
568.00,1.60302859E+5,
569.00,1.56040891E+5,
570.00,1.52372078E+5,
571.00,1.50142219E+5,
572.00,1.45450141E+5,
573.00,1.42308859E+5,
574.00,1.38692578E+5,
575.00,1.35902109E+5,
576.00,1.32318109E+5,
577.00,1.29221445E+5,
578.00,1.26549836E+5,
579.00,1.22991859E+5,
580.00,1.20403523E+5,
581.00,1.16887953E+5,
582.00,1.15375672E+5,
583.00,1.12187570E+5,
584.00,1.09386641E+5,
585.00,1.05900063E+5,
586.00,1.03283945E+5,
587.00,1.00843453E+5,
588.00,9.77824609E+4,
589.00,9.57623750E+4,
590.00,9.34997578E+4,
591.00,9.19252734E+4,
592.00,8.92570391E+4,
593.00,8.66075156E+4,
594.00,8.47301797E+4,
595.00,8.24344531E+4,
596.00,8.06735703E+4,
597.00,7.89082734E+4,
598.00,7.70652656E+4,
599.00,7.54288359E+4,
600.00,7.29000391E+4,
601.00,7.12395859E+4,
602.00,6.94282656E+4,
603.00,6.72187031E+4,
604.00,6.57298281E+4,
605.00,6.37051758E+4,
606.00,6.28189414E+4,
607.00,6.01626328E+4,
608.00,5.85079414E+4,
609.00,5.70601172E+4,
610.00,5.64036289E+4,
611.00,5.40742891E+4,
612.00,5.27961094E+4,
613.00,5.17854023E+4,
614.00,5.06411719E+4,
615.00,4.87048281E+4,
616.00,4.77398242E+4,
617.00,4.58176406E+4,
618.00,4.45125547E+4,
619.00,4.41679102E+4,
620.00,4.27277617E+4,
621.00,4.11552227E+4,
622.00,4.02261484E+4,
623.00,3.86284492E+4,
624.00,3.80607422E+4,
625.00,3.64094414E+4,
626.00,3.57610430E+4,
627.00,3.51355820E+4,
628.00,3.34825938E+4,
629.00,3.26910371E+4,
630.00,3.16212910E+4,
631.00,3.11635547E+4,
632.00,3.03108477E+4,
633.00,2.96154922E+4,
634.00,2.86924023E+4,
635.00,2.77317363E+4,
636.00,2.72205293E+4,
637.00,2.62070313E+4,
638.00,2.57076621E+4,
639.00,2.44399805E+4,
640.00,2.40609785E+4,
641.00,2.30158066E+4,
642.00,2.29080469E+4,
643.00,2.24342832E+4,
644.00,2.16674883E+4,
645.00,2.11090430E+4,
646.00,1.98884785E+4,
647.00,2.01035215E+4,
648.00,1.92902012E+4,
649.00,1.87857520E+4,
650.00,1.83811055E+4,
651.00,1.74246797E+4,
652.00,1.74053262E+4,
653.00,1.67704941E+4,
654.00,1.64330313E+4,
655.00,1.59011270E+4,
656.00,1.54720508E+4,
657.00,1.54870693E+4,
658.00,1.55104766E+4,
659.00,1.65397402E+4,
660.00,1.73260703E+4,
661.00,1.66540391E+4,
662.00,1.45972627E+4,
663.00,1.32157451E+4,
664.00,1.27294268E+4,
665.00,1.19657275E+4,
666.00,1.16297617E+4,
667.00,1.17217705E+4,
668.00,1.16006523E+4,
669.00,1.15183242E+4,
670.00,1.09501719E+4,
671.00,1.08369580E+4,
672.00,1.01809502E+4,
673.00,1.01383496E+4,
674.00,9.97561816E+3,
675.00,9.58894043E+3,
676.00,9.84422754E+3,
677.00,9.47816992E+3,
678.00,9.45352148E+3,
679.00,9.00615332E+3,
680.00,7.72009912E+3,
681.00,7.47968896E+3,
682.00,7.15559326E+3,
683.00,6.91752490E+3,
684.00,6.91901807E+3,
685.00,6.61755859E+3,
686.00,6.52471436E+3,
687.00,6.27158008E+3,
688.00,5.89183350E+3,
689.00,5.77142432E+3,
690.00,5.63191455E+3,
691.00,5.92262549E+3,
692.00,5.63691260E+3,
693.00,5.35280811E+3,
694.00,5.44599170E+3,
695.00,5.29545947E+3,
696.00,4.75691553E+3,
697.00,5.21433643E+3,
698.00,4.63508398E+3,
699.00,4.53445996E+3,
700.00,4.30243945E+3,
