Labels,30min,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,3.36331758E+4,
471.00,3.78676406E+4,
472.00,4.29466406E+4,
473.00,4.96629063E+4,
474.00,5.57853398E+4,
475.00,6.31034414E+4,
476.00,7.22927109E+4,
477.00,8.18421953E+4,
478.00,9.13705703E+4,
479.00,1.02488500E+5,
480.00,1.13056914E+5,
481.00,1.24602164E+5,
482.00,1.36774875E+5,
483.00,1.50109250E+5,
484.00,1.62128625E+5,
485.00,1.75515047E+5,
486.00,1.87844234E+5,
487.00,2.01351906E+5,
488.00,2.15002469E+5,
489.00,2.29217094E+5,
490.00,2.44257984E+5,
491.00,2.57415000E+5,
492.00,2.69796500E+5,
493.00,2.81074250E+5,
494.00,2.92612969E+5,
495.00,3.03264719E+5,
496.00,3.12503000E+5,
497.00,3.21942500E+5,
498.00,3.31397219E+5,
499.00,3.39512031E+5,
500.00,3.47606531E+5,
501.00,3.54011188E+5,
502.00,3.60299156E+5,
503.00,3.68265313E+5,
504.00,3.73270563E+5,
505.00,3.79576531E+5,
506.00,3.83562281E+5,
507.00,3.89554875E+5,
508.00,3.94412594E+5,
509.00,3.97352625E+5,
510.00,4.03081063E+5,
511.00,4.06273156E+5,
512.00,4.09896438E+5,
513.00,4.10732344E+5,
514.00,4.10234750E+5,
515.00,4.12350438E+5,
516.00,4.14480063E+5,
517.00,4.16127938E+5,
518.00,4.16791031E+5,
519.00,4.17398813E+5,
520.00,4.17890375E+5,
521.00,4.16929531E+5,
522.00,4.18633344E+5,
523.00,4.18033000E+5,
524.00,4.17499906E+5,
525.00,4.15684875E+5,
526.00,4.16232781E+5,
527.00,4.13710313E+5,
528.00,4.11120938E+5,
529.00,4.08442844E+5,
530.00,4.01944656E+5,
531.00,3.98679469E+5,
532.00,3.97898688E+5,
533.00,3.93242406E+5,
534.00,3.89390125E+5,
535.00,3.86068594E+5,
536.00,3.81092313E+5,
537.00,3.76271063E+5,
538.00,3.71662313E+5,
539.00,3.66278281E+5,
540.00,3.62968438E+5,
541.00,3.58839656E+5,
542.00,3.51142094E+5,
543.00,3.47913688E+5,
544.00,3.42622500E+5,
545.00,3.37698438E+5,
546.00,3.32338250E+5,
547.00,3.27378188E+5,
548.00,3.22541531E+5,
549.00,3.17617719E+5,
550.00,3.12898563E+5,
551.00,3.07446344E+5,
552.00,3.01006125E+5,
553.00,2.96104719E+5,
554.00,2.91711969E+5,
555.00,2.86781438E+5,
556.00,2.81760594E+5,
557.00,2.78798500E+5,
558.00,2.73969250E+5,
559.00,2.68185531E+5,
560.00,2.61288734E+5,
561.00,2.53879297E+5,
562.00,2.49385813E+5,
563.00,2.44532766E+5,
564.00,2.38557688E+5,
565.00,2.34711828E+5,
566.00,2.28948906E+5,
567.00,2.25735813E+5,
568.00,2.18799344E+5,
569.00,2.13833328E+5,
570.00,2.09509141E+5,
571.00,2.05552063E+5,
572.00,2.01433281E+5,
573.00,1.97840297E+5,
574.00,1.92320797E+5,
575.00,1.89276609E+5,
576.00,1.84977359E+5,
577.00,1.79704953E+5,
578.00,1.75692547E+5,
579.00,1.70886797E+5,
580.00,1.66193625E+5,
581.00,1.61975281E+5,
582.00,1.59651625E+5,
583.00,1.54370500E+5,
584.00,1.50276172E+5,
585.00,1.46795281E+5,
586.00,1.43760078E+5,
587.00,1.40561328E+5,
588.00,1.37035000E+5,
589.00,1.34509172E+5,
590.00,1.31291266E+5,
591.00,1.28331133E+5,
592.00,1.24710422E+5,
593.00,1.21584547E+5,
594.00,1.18602375E+5,
595.00,1.16199734E+5,
596.00,1.12309680E+5,
597.00,1.09763930E+5,
598.00,1.06917867E+5,
599.00,1.04503469E+5,
600.00,1.02780586E+5,
601.00,1.00240648E+5,
602.00,9.75375781E+4,
603.00,9.52613984E+4,
604.00,9.19439453E+4,
605.00,8.96536172E+4,
606.00,8.76454531E+4,
607.00,8.54872969E+4,
608.00,8.28451953E+4,
609.00,8.00257813E+4,
610.00,7.83909375E+4,
611.00,7.59004063E+4,
612.00,7.46348281E+4,
613.00,7.17543438E+4,
614.00,7.00076250E+4,
615.00,6.78499609E+4,
616.00,6.65541484E+4,
617.00,6.45376523E+4,
618.00,6.32120234E+4,
619.00,6.17390117E+4,
620.00,5.97438477E+4,
621.00,5.84134492E+4,
622.00,5.66547852E+4,
623.00,5.49822539E+4,
624.00,5.34502773E+4,
625.00,5.24648320E+4,
626.00,5.06371328E+4,
627.00,4.85532422E+4,
628.00,4.85521602E+4,
629.00,4.72004297E+4,
630.00,4.53464688E+4,
631.00,4.46329336E+4,
632.00,4.34706367E+4,
633.00,4.24449961E+4,
634.00,4.05360859E+4,
635.00,3.98799453E+4,
636.00,3.86699844E+4,
637.00,3.76104766E+4,
638.00,3.65625547E+4,
639.00,3.58850742E+4,
640.00,3.45927070E+4,
641.00,3.34461563E+4,
642.00,3.24387031E+4,
643.00,3.19843145E+4,
644.00,3.03471172E+4,
645.00,3.00939492E+4,
646.00,2.85693672E+4,
647.00,2.82128008E+4,
648.00,2.74681445E+4,
649.00,2.67407949E+4,
650.00,2.61022051E+4,
651.00,2.55545215E+4,
652.00,2.45787344E+4,
653.00,2.40022656E+4,
654.00,2.38800234E+4,
655.00,2.30721602E+4,
656.00,2.19800605E+4,
657.00,2.13117305E+4,
658.00,2.13345195E+4,
659.00,2.30582754E+4,
660.00,2.47479199E+4,
661.00,2.35117422E+4,
662.00,2.15712402E+4,
663.00,1.91464844E+4,
664.00,1.81457598E+4,
665.00,1.75684863E+4,
666.00,1.67029375E+4,
667.00,1.63374199E+4,
668.00,1.60512021E+4,
669.00,1.58486074E+4,
670.00,1.53661084E+4,
671.00,1.47704160E+4,
672.00,1.42076660E+4,
673.00,1.43172344E+4,
674.00,1.34662754E+4,
675.00,1.38174189E+4,
676.00,1.32507754E+4,
677.00,1.30638867E+4,
678.00,1.25619795E+4,
679.00,1.28364912E+4,
680.00,1.08810859E+4,
681.00,1.04207959E+4,
682.00,1.04946836E+4,
683.00,1.01251641E+4,
684.00,9.68428418E+3,
685.00,9.25826465E+3,
686.00,8.98008984E+3,
687.00,8.77405371E+3,
688.00,8.78811328E+3,
689.00,8.24124609E+3,
690.00,8.21423633E+3,
691.00,8.18812207E+3,
692.00,7.38133008E+3,
693.00,7.56516748E+3,
694.00,7.59508350E+3,
695.00,7.66313721E+3,
696.00,7.09920117E+3,
697.00,6.73915381E+3,
698.00,6.67686426E+3,
699.00,6.27417627E+3,
700.00,6.31597461E+3,
