Labels,0min,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,3.73203359E+4,
471.00,4.26563945E+4,
472.00,4.83413047E+4,
473.00,5.54349805E+4,
474.00,6.34519336E+4,
475.00,7.23140625E+4,
476.00,8.17879063E+4,
477.00,9.21995469E+4,
478.00,1.03178414E+5,
479.00,1.15186352E+5,
480.00,1.28310094E+5,
481.00,1.42032406E+5,
482.00,1.57171219E+5,
483.00,1.71850063E+5,
484.00,1.87658828E+5,
485.00,2.02924047E+5,
486.00,2.17594891E+5,
487.00,2.33391734E+5,
488.00,2.48201281E+5,
489.00,2.63190438E+5,
490.00,2.79277594E+5,
491.00,2.92664094E+5,
492.00,3.05755813E+5,
493.00,3.18750875E+5,
494.00,3.31226688E+5,
495.00,3.43809188E+5,
496.00,3.53598188E+5,
497.00,3.64893781E+5,
498.00,3.74018969E+5,
499.00,3.84005406E+5,
500.00,3.91510688E+5,
501.00,3.98887125E+5,
502.00,4.04572531E+5,
503.00,4.13196000E+5,
504.00,4.19947625E+5,
505.00,4.24437500E+5,
506.00,4.31012250E+5,
507.00,4.35466750E+5,
508.00,4.39807406E+5,
509.00,4.44368438E+5,
510.00,4.48915625E+5,
511.00,4.52420000E+5,
512.00,4.55747281E+5,
513.00,4.58719750E+5,
514.00,4.59422531E+5,
515.00,4.60871594E+5,
516.00,4.61642125E+5,
517.00,4.62768281E+5,
518.00,4.63334438E+5,
519.00,4.63654813E+5,
520.00,4.63182125E+5,
521.00,4.61856594E+5,
522.00,4.63350688E+5,
523.00,4.61309969E+5,
524.00,4.59497688E+5,
525.00,4.56775594E+5,
526.00,4.55426969E+5,
527.00,4.53321813E+5,
528.00,4.51365625E+5,
529.00,4.47902906E+5,
530.00,4.43435156E+5,
531.00,4.41853500E+5,
532.00,4.37105406E+5,
533.00,4.32948000E+5,
534.00,4.30604938E+5,
535.00,4.25927031E+5,
536.00,4.23340844E+5,
537.00,4.17497125E+5,
538.00,4.12698469E+5,
539.00,4.09004656E+5,
540.00,4.04990094E+5,
541.00,3.97757500E+5,
542.00,3.91611438E+5,
543.00,3.86251719E+5,
544.00,3.82486813E+5,
545.00,3.76373156E+5,
546.00,3.70068406E+5,
547.00,3.64439344E+5,
548.00,3.57646344E+5,
549.00,3.51829531E+5,
550.00,3.45557156E+5,
551.00,3.38549844E+5,
552.00,3.33127906E+5,
553.00,3.27693969E+5,
554.00,3.21275438E+5,
555.00,3.15122750E+5,
556.00,3.10418688E+5,
557.00,3.06856031E+5,
558.00,3.04351313E+5,
559.00,2.96767094E+5,
560.00,2.89743531E+5,
561.00,2.83491563E+5,
562.00,2.77274781E+5,
563.00,2.73580750E+5,
564.00,2.67200375E+5,
565.00,2.61758922E+5,
566.00,2.57267469E+5,
567.00,2.51421953E+5,
568.00,2.45869563E+5,
569.00,2.40440344E+5,
570.00,2.34004172E+5,
571.00,2.28633813E+5,
572.00,2.23147219E+5,
573.00,2.18613781E+5,
574.00,2.13389516E+5,
575.00,2.08653906E+5,
576.00,2.03712031E+5,
577.00,1.98897719E+5,
578.00,1.94482625E+5,
579.00,1.89590438E+5,
580.00,1.84592078E+5,
581.00,1.80406375E+5,
582.00,1.77176797E+5,
583.00,1.73292047E+5,
584.00,1.69192750E+5,
585.00,1.64979484E+5,
586.00,1.61126844E+5,
587.00,1.57358000E+5,
588.00,1.53628438E+5,
589.00,1.50151375E+5,
590.00,1.47076031E+5,
591.00,1.43023922E+5,
592.00,1.39253594E+5,
593.00,1.35776844E+5,
594.00,1.32611219E+5,
595.00,1.28835531E+5,
596.00,1.26345969E+5,
597.00,1.22398930E+5,
598.00,1.19056805E+5,
599.00,1.16521383E+5,
600.00,1.12826898E+5,
601.00,1.09519219E+5,
602.00,1.06463109E+5,
603.00,1.04354828E+5,
604.00,1.00804078E+5,
605.00,9.85787344E+4,
606.00,9.62069219E+4,
607.00,9.26012266E+4,
608.00,9.03353672E+4,
609.00,8.85999141E+4,
610.00,8.65259609E+4,
611.00,8.37074453E+4,
612.00,8.14118047E+4,
613.00,8.00172813E+4,
614.00,7.80324531E+4,
615.00,7.62402656E+4,
616.00,7.32085078E+4,
617.00,7.15230234E+4,
618.00,6.97061953E+4,
619.00,6.79977656E+4,
620.00,6.58687031E+4,
621.00,6.48492266E+4,
622.00,6.31370352E+4,
623.00,6.06370273E+4,
624.00,5.91785234E+4,
625.00,5.74512695E+4,
626.00,5.52071680E+4,
627.00,5.38691875E+4,
628.00,5.34757422E+4,
629.00,5.09424023E+4,
630.00,4.98127539E+4,
631.00,4.90090742E+4,
632.00,4.75849336E+4,
633.00,4.55421328E+4,
634.00,4.48789219E+4,
635.00,4.36244688E+4,
636.00,4.25978477E+4,
637.00,4.19108203E+4,
638.00,4.00876641E+4,
639.00,3.91497383E+4,
640.00,3.80217031E+4,
641.00,3.70106758E+4,
642.00,3.63842383E+4,
643.00,3.46658555E+4,
644.00,3.40972227E+4,
645.00,3.36586445E+4,
646.00,3.19667305E+4,
647.00,3.12133477E+4,
648.00,2.99278945E+4,
649.00,3.00807227E+4,
650.00,2.85510781E+4,
651.00,2.77954688E+4,
652.00,2.70311777E+4,
653.00,2.62352695E+4,
654.00,2.55281758E+4,
655.00,2.41877754E+4,
656.00,2.41786484E+4,
657.00,2.34522324E+4,
658.00,2.39780762E+4,
659.00,2.46863555E+4,
660.00,2.71489063E+4,
661.00,2.54664453E+4,
662.00,2.36545215E+4,
663.00,2.04181680E+4,
664.00,1.97985156E+4,
665.00,1.96869805E+4,
666.00,1.88065078E+4,
667.00,1.84005039E+4,
668.00,1.76949883E+4,
669.00,1.73801680E+4,
670.00,1.72299980E+4,
671.00,1.62254805E+4,
672.00,1.57308311E+4,
673.00,1.55944775E+4,
674.00,1.55128682E+4,
675.00,1.49703643E+4,
676.00,1.47113906E+4,
677.00,1.40016113E+4,
678.00,1.37428193E+4,
679.00,1.34785371E+4,
680.00,1.16891719E+4,
681.00,1.14345527E+4,
682.00,1.13195332E+4,
683.00,1.07721201E+4,
684.00,1.04255186E+4,
685.00,9.99380469E+3,
686.00,9.93790234E+3,
687.00,9.83270703E+3,
688.00,9.31507910E+3,
689.00,9.39141211E+3,
690.00,9.41266895E+3,
691.00,8.82446973E+3,
692.00,8.49578809E+3,
693.00,8.32614941E+3,
694.00,8.14384766E+3,
695.00,7.96782275E+3,
696.00,8.00596045E+3,
697.00,7.23249609E+3,
698.00,7.07778418E+3,
699.00,6.84715576E+3,
700.00,6.91832568E+3,
