Labels,240min,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,3.10516055E+4,
471.00,3.47535313E+4,
472.00,3.99210820E+4,
473.00,4.58183086E+4,
474.00,5.25907969E+4,
475.00,6.00087617E+4,
476.00,6.86118750E+4,
477.00,7.65215625E+4,
478.00,8.66062344E+4,
479.00,9.74865703E+4,
480.00,1.08669727E+5,
481.00,1.20359227E+5,
482.00,1.33218375E+5,
483.00,1.45817203E+5,
484.00,1.59187406E+5,
485.00,1.72211156E+5,
486.00,1.86646469E+5,
487.00,2.00090266E+5,
488.00,2.13911531E+5,
489.00,2.27675469E+5,
490.00,2.42095516E+5,
491.00,2.54859359E+5,
492.00,2.66966438E+5,
493.00,2.79399313E+5,
494.00,2.90071469E+5,
495.00,3.00871813E+5,
496.00,3.10979531E+5,
497.00,3.21050469E+5,
498.00,3.30635656E+5,
499.00,3.38545875E+5,
500.00,3.46660969E+5,
501.00,3.54780813E+5,
502.00,3.61018719E+5,
503.00,3.67546969E+5,
504.00,3.75871656E+5,
505.00,3.80779563E+5,
506.00,3.85344219E+5,
507.00,3.90268469E+5,
508.00,3.94941906E+5,
509.00,3.99174406E+5,
510.00,4.03067844E+5,
511.00,4.06614188E+5,
512.00,4.09495563E+5,
513.00,4.12222781E+5,
514.00,4.13613938E+5,
515.00,4.16191781E+5,
516.00,4.15637719E+5,
517.00,4.18547563E+5,
518.00,4.19715188E+5,
519.00,4.20081563E+5,
520.00,4.20100469E+5,
521.00,4.18656094E+5,
522.00,4.19846000E+5,
523.00,4.19362906E+5,
524.00,4.17319875E+5,
525.00,4.14985813E+5,
526.00,4.14152531E+5,
527.00,4.11702844E+5,
528.00,4.10483156E+5,
529.00,4.07413594E+5,
530.00,4.04155250E+5,
531.00,4.00497781E+5,
532.00,3.95981031E+5,
533.00,3.94263469E+5,
534.00,3.90975188E+5,
535.00,3.85775313E+5,
536.00,3.81646469E+5,
537.00,3.78074156E+5,
538.00,3.73963906E+5,
539.00,3.68770531E+5,
540.00,3.65703406E+5,
541.00,3.60113656E+5,
542.00,3.54059313E+5,
543.00,3.49716063E+5,
544.00,3.45211188E+5,
545.00,3.40718125E+5,
546.00,3.34126813E+5,
547.00,3.28524844E+5,
548.00,3.22376469E+5,
549.00,3.18761750E+5,
550.00,3.14256500E+5,
551.00,3.08092844E+5,
552.00,3.03411375E+5,
553.00,2.97297438E+5,
554.00,2.91907000E+5,
555.00,2.87030531E+5,
556.00,2.83434000E+5,
557.00,2.78539094E+5,
558.00,2.74537656E+5,
559.00,2.70065688E+5,
560.00,2.62538563E+5,
561.00,2.56147188E+5,
562.00,2.51014906E+5,
563.00,2.45424703E+5,
564.00,2.40159406E+5,
565.00,2.35646875E+5,
566.00,2.29331313E+5,
567.00,2.25763141E+5,
568.00,2.20960266E+5,
569.00,2.14854578E+5,
570.00,2.12681703E+5,
571.00,2.07150563E+5,
572.00,2.02307125E+5,
573.00,1.96618266E+5,
574.00,1.92620703E+5,
575.00,1.88408453E+5,
576.00,1.84203188E+5,
577.00,1.79043016E+5,
578.00,1.73942984E+5,
579.00,1.70585938E+5,
580.00,1.66092828E+5,
581.00,1.62386844E+5,
582.00,1.57514984E+5,
583.00,1.55274328E+5,
584.00,1.50934625E+5,
585.00,1.46576484E+5,
586.00,1.43346047E+5,
587.00,1.39117000E+5,
588.00,1.36272516E+5,
589.00,1.34008594E+5,
590.00,1.31299313E+5,
591.00,1.27223602E+5,
592.00,1.23099992E+5,
593.00,1.21777555E+5,
594.00,1.17423352E+5,
595.00,1.15324336E+5,
596.00,1.13415297E+5,
597.00,1.09831102E+5,
598.00,1.06890930E+5,
599.00,1.03838656E+5,
600.00,1.01797141E+5,
601.00,9.92382969E+4,
602.00,9.67404844E+4,
603.00,9.41460234E+4,
604.00,9.17008828E+4,
605.00,8.84144844E+4,
606.00,8.76580859E+4,
607.00,8.35282031E+4,
608.00,8.17901875E+4,
609.00,8.01998828E+4,
610.00,7.83711250E+4,
611.00,7.62354844E+4,
612.00,7.42826641E+4,
613.00,7.17889922E+4,
614.00,7.03973281E+4,
615.00,6.87254063E+4,
616.00,6.75594844E+4,
617.00,6.53707773E+4,
618.00,6.31865820E+4,
619.00,6.12902188E+4,
620.00,5.99023984E+4,
621.00,5.82856563E+4,
622.00,5.65674141E+4,
623.00,5.48602617E+4,
624.00,5.34246602E+4,
625.00,5.23238438E+4,
626.00,5.07641523E+4,
627.00,4.98256367E+4,
628.00,4.73822734E+4,
629.00,4.63277383E+4,
630.00,4.53963008E+4,
631.00,4.36695820E+4,
632.00,4.26280859E+4,
633.00,4.17631406E+4,
634.00,4.06445820E+4,
635.00,3.85651914E+4,
636.00,3.84886055E+4,
637.00,3.76194883E+4,
638.00,3.70807422E+4,
639.00,3.50916133E+4,
640.00,3.40839844E+4,
641.00,3.36498750E+4,
642.00,3.22709355E+4,
643.00,3.21783359E+4,
644.00,3.00773145E+4,
645.00,2.99148281E+4,
646.00,2.90350098E+4,
647.00,2.78286758E+4,
648.00,2.74001191E+4,
649.00,2.64234727E+4,
650.00,2.56951641E+4,
651.00,2.51980176E+4,
652.00,2.52535215E+4,
653.00,2.43505957E+4,
654.00,2.33371797E+4,
655.00,2.26169883E+4,
656.00,2.23006367E+4,
657.00,2.11445605E+4,
658.00,2.14994453E+4,
659.00,2.22274395E+4,
660.00,2.44555645E+4,
661.00,2.36929980E+4,
662.00,2.16512988E+4,
663.00,1.93143535E+4,
664.00,1.81387520E+4,
665.00,1.74968184E+4,
666.00,1.76364941E+4,
667.00,1.70369883E+4,
668.00,1.60952158E+4,
669.00,1.59085684E+4,
670.00,1.53878398E+4,
671.00,1.46668994E+4,
672.00,1.51198555E+4,
673.00,1.47782314E+4,
674.00,1.35743574E+4,
675.00,1.36560781E+4,
676.00,1.36465361E+4,
677.00,1.30965020E+4,
678.00,1.27232539E+4,
679.00,1.26466992E+4,
680.00,1.08671348E+4,
681.00,1.00001553E+4,
682.00,1.02564160E+4,
683.00,9.51982813E+3,
684.00,1.01576494E+4,
685.00,9.51848535E+3,
686.00,9.02480078E+3,
687.00,9.34846484E+3,
688.00,8.84059375E+3,
689.00,8.34872852E+3,
690.00,8.23144531E+3,
691.00,8.00325830E+3,
692.00,8.05246826E+3,
693.00,7.76477100E+3,
694.00,7.05123828E+3,
695.00,7.02080029E+3,
696.00,6.92470215E+3,
697.00,6.62605225E+3,
698.00,6.90203613E+3,
699.00,6.68317480E+3,
700.00,6.26192822E+3,
