Labels,5-COOH,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,2.94020776E+3,
471.00,3.41618237E+3,
472.00,3.86073730E+3,
473.00,4.49582861E+3,
474.00,5.06909619E+3,
475.00,5.77407129E+3,
476.00,6.34083936E+3,
477.00,7.26812305E+3,
478.00,8.12260889E+3,
479.00,9.07720020E+3,
480.00,1.01181816E+4,
481.00,1.12052197E+4,
482.00,1.26301797E+4,
483.00,1.37613027E+4,
484.00,1.50028223E+4,
485.00,1.62203633E+4,
486.00,1.76813086E+4,
487.00,1.89389375E+4,
488.00,2.00258867E+4,
489.00,2.12029805E+4,
490.00,2.23565723E+4,
491.00,2.39716563E+4,
492.00,2.49326973E+4,
493.00,2.62875703E+4,
494.00,2.72229121E+4,
495.00,2.85960547E+4,
496.00,2.92884316E+4,
497.00,3.05792012E+4,
498.00,3.17177539E+4,
499.00,3.25282656E+4,
500.00,3.42193164E+4,
501.00,3.43623203E+4,
502.00,3.54526328E+4,
503.00,3.58232070E+4,
504.00,3.65495508E+4,
505.00,3.64673086E+4,
506.00,3.67789297E+4,
507.00,3.71331680E+4,
508.00,3.73085000E+4,
509.00,3.74465977E+4,
510.00,3.74006484E+4,
511.00,3.79653398E+4,
512.00,3.76027070E+4,
513.00,3.78654023E+4,
514.00,3.81072461E+4,
515.00,3.78334141E+4,
516.00,3.83124023E+4,
517.00,3.77847656E+4,
518.00,3.81948086E+4,
519.00,3.84289180E+4,
520.00,3.83215469E+4,
521.00,3.85282734E+4,
522.00,3.91802422E+4,
523.00,3.90819023E+4,
524.00,3.88188203E+4,
525.00,3.87670469E+4,
526.00,3.89235352E+4,
527.00,3.83931055E+4,
528.00,3.82914336E+4,
529.00,3.85332266E+4,
530.00,3.76910313E+4,
531.00,3.76637266E+4,
532.00,3.71402930E+4,
533.00,3.73849023E+4,
534.00,3.71199531E+4,
535.00,3.70516797E+4,
536.00,3.59915195E+4,
537.00,3.63228633E+4,
538.00,3.54374141E+4,
539.00,3.51758984E+4,
540.00,3.49930156E+4,
541.00,3.43180352E+4,
542.00,3.39307227E+4,
543.00,3.32093125E+4,
544.00,3.28584727E+4,
545.00,3.18104102E+4,
546.00,3.20863145E+4,
547.00,3.11924434E+4,
548.00,3.04466934E+4,
549.00,3.02798242E+4,
550.00,2.94347832E+4,
551.00,2.89691211E+4,
552.00,2.82208320E+4,
553.00,2.79979043E+4,
554.00,2.71213535E+4,
555.00,2.69030801E+4,
556.00,2.65112012E+4,
557.00,2.55088066E+4,
558.00,2.53070566E+4,
559.00,2.46521074E+4,
560.00,2.36610723E+4,
561.00,2.34699629E+4,
562.00,2.25817656E+4,
563.00,2.26104141E+4,
564.00,2.22679141E+4,
565.00,2.22577656E+4,
566.00,2.17212441E+4,
567.00,2.11313574E+4,
568.00,2.05862402E+4,
569.00,2.00669883E+4,
570.00,2.00858105E+4,
571.00,1.97174414E+4,
572.00,1.91316621E+4,
573.00,1.90076465E+4,
574.00,1.86708164E+4,
575.00,1.82694336E+4,
576.00,1.79228281E+4,
577.00,1.74819180E+4,
578.00,1.74125586E+4,
579.00,1.71518906E+4,
580.00,1.64915293E+4,
581.00,1.59509570E+4,
582.00,1.57882598E+4,
583.00,1.54532197E+4,
584.00,1.48396514E+4,
585.00,1.42875957E+4,
586.00,1.43743955E+4,
587.00,1.37839014E+4,
588.00,1.34925742E+4,
589.00,1.30399902E+4,
590.00,1.27141973E+4,
591.00,1.21032090E+4,
592.00,1.20759375E+4,
593.00,1.20030293E+4,
594.00,1.15177578E+4,
595.00,1.11873848E+4,
596.00,1.10436143E+4,
597.00,1.06825469E+4,
598.00,1.04012148E+4,
599.00,1.01804258E+4,
600.00,9.77386719E+3,
601.00,9.42836035E+3,
602.00,9.38048438E+3,
603.00,9.02234180E+3,
604.00,8.69453223E+3,
605.00,8.70690039E+3,
606.00,8.44718066E+3,
607.00,7.87597168E+3,
608.00,7.96768848E+3,
609.00,7.48045117E+3,
610.00,7.53726318E+3,
611.00,7.04573486E+3,
612.00,7.04872266E+3,
613.00,6.74286133E+3,
614.00,6.65326611E+3,
615.00,6.42097607E+3,
616.00,6.22884229E+3,
617.00,6.10123389E+3,
618.00,6.20682129E+3,
619.00,5.92061377E+3,
620.00,5.86645557E+3,
621.00,5.69336279E+3,
622.00,5.51491113E+3,
623.00,5.47923389E+3,
624.00,5.38546582E+3,
625.00,5.14290186E+3,
626.00,4.79886035E+3,
627.00,4.66143359E+3,
628.00,4.56045410E+3,
629.00,4.48822754E+3,
630.00,4.21421777E+3,
631.00,4.11083545E+3,
632.00,4.13503857E+3,
633.00,3.99701147E+3,
634.00,3.92740210E+3,
635.00,3.72006909E+3,
636.00,3.71791895E+3,
637.00,3.56329590E+3,
638.00,3.38195361E+3,
639.00,3.40842456E+3,
640.00,3.23163428E+3,
641.00,3.04266504E+3,
642.00,2.94507031E+3,
643.00,2.99442944E+3,
644.00,2.78054248E+3,
645.00,2.91312500E+3,
646.00,2.79939307E+3,
647.00,2.84917358E+3,
648.00,2.65540161E+3,
649.00,2.46925464E+3,
650.00,2.33470288E+3,
651.00,2.27374780E+3,
652.00,2.34110156E+3,
653.00,2.30179419E+3,
654.00,2.41314673E+3,
655.00,2.07871167E+3,
656.00,2.18326514E+3,
657.00,2.18999048E+3,
658.00,2.16594531E+3,
659.00,2.36337329E+3,
660.00,2.36471851E+3,
661.00,2.19957104E+3,
662.00,1.89380823E+3,
663.00,1.83531360E+3,
664.00,1.65273816E+3,
665.00,1.58339148E+3,
666.00,1.62428333E+3,
667.00,1.60754663E+3,
668.00,1.43260559E+3,
669.00,1.42985852E+3,
670.00,1.60939270E+3,
671.00,1.33667737E+3,
672.00,1.45505298E+3,
673.00,1.33133496E+3,
674.00,1.26905237E+3,
675.00,1.32973645E+3,
676.00,1.19978467E+3,
677.00,1.32404980E+3,
678.00,1.21776086E+3,
679.00,1.24736902E+3,
680.00,1.07234497E+3,
681.00,9.22002258E+2,
682.00,8.23747681E+2,
683.00,1.04390698E+3,
684.00,9.04690979E+2,
685.00,9.02752991E+2,
686.00,9.21865234E+2,
687.00,9.17577759E+2,
688.00,7.99684265E+2,
689.00,7.08585571E+2,
690.00,9.24663940E+2,
691.00,8.16537354E+2,
692.00,7.46505310E+2,
693.00,6.89152405E+2,
694.00,6.96205322E+2,
695.00,7.09998474E+2,
696.00,6.36537842E+2,
697.00,7.34744812E+2,
698.00,6.39865906E+2,
699.00,7.21516235E+2,
700.00,7.16130859E+2,
